winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential,winner
0.791836,0.432775,1,?,1,0,1,5,3,5,1,37,?,1
0.423413,0.52904,0,58.2826,1,3,?,4,3,3,0,47,53,0
0.821241,0.4471,0,65.4549,2,0,1,5,2,3,1,20,35,1
0.158606,0.481229,1,60.0177,0,3,3,2,2,3,1,50,?,0
0.409825,0.810007,0,68.5366,0,1,4,3,3,2,0,39,25,0
0.59609,0.445976,0,77.3742,2,1,3,5,4,2,1,24,62,1
?,0.575009,1,68.7928,1,2,2,4,3,4,1,36,58,0
0.621143,0.646682,0,77.9044,2,0,2,2,3,3,1,33,27,1
0.396717,0.420252,0,53.2972,1,2,5,2,?,1,0,?,36,0
0.722182,?,0,76.6267,1,1,4,4,3,4,1,43,22,0
0.39331,0.841305,0,67.0598,0,1,3,4,3,3,0,85,79,0
0.657369,0.71097,0,55.3387,0,2,2,3,2,5,0,57,32,0
0.677982,0.767334,1,69.6653,1,1,1,1,2,2,0,33,16,1
0.260188,0.604816,-1,65.9116,3,0,?,5,3,2,1,75,50,1
0.281132,0.336744,0,56.2208,2,?,5,5,4,3,0,65,?,1
0.47858,0.623398,0,79.4252,1,1,5,2,2,3,1,75,43,1
0.533087,0.706892,0,69.332,1,0,2,4,5,2,0,64,38,1
0.491867,0.564031,0,71.236,2,?,4,2,3,3,0,50,49,1
0.536022,0.60158,0,61.9237,2,1,4,?,2,1,0,33,74,1
0.396343,0.34668,-1,?,1,1,3,5,3,2,1,44,22,1
0.727204,0.680347,0,60.2717,3,1,4,4,3,2,?,74,27,1
0.0032325,0.915695,0,66.2025,1,2,3,3,3,2,0,56,?,0
0.0180277,0.418405,1,67.6801,1,1,1,3,2,2,?,52,53,1
0.68034,0.313201,0,57.2889,2,0,4,5,3,5,1,20,38,0
0.704011,0.393668,?,72.3234,2,2,2,1,2,3,0,65,56,1
-0.00638978,0.694986,0,75.2574,?,3,2,1,?,?,0,30,-6,1
0.339602,0.506875,0,67.2213,2,2,1,2,4,1,0,64,42,1
0.479549,0.600588,1,66.0507,3,?,?,5,2,4,0,51,59,1
0.539769,0.553133,-1,?,2,1,3,5,1,2,0,52,74,1
0.526912,?,0,65.7805,1,-1,4,5,3,3,0,54,64,1
0.263071,0.510563,-1,59.5565,?,2,?,4,4,3,1,76,-2,1
0.279384,0.631192,?,73.8373,2,0,3,1,3,?,1,54,56,1
0.279777,0.472316,0,60.5351,1,1,5,2,3,3,0,61,70,1
0.230043,0.578423,1,73.3872,1,3,5,5,2,3,0,76,64,0
0.365784,0.66789,-1,74.573,3,2,2,2,3,2,1,65,52,1
0.276687,0.543995,-1,74.0511,0,1,4,3,1,1,1,68,50,0
0.196364,0.74074,0,73.5671,1,2,3,5,2,4,1,25,76,0
0.398143,0.241559,1,66.9798,1,0,4,?,1,3,1,47,82,1
0.55778,0.267364,0,71.6894,3,2,2,5,2,2,0,52,60,0
0.438614,0.578508,1,61.2103,2,1,3,4,2,3,0,43,40,1
0.36387,0.254266,0,58.5505,3,0,5,3,2,5,0,62,47,1
0.598149,0.517137,-1,58.0843,0,2,4,1,3,2,1,48,59,0
0.480253,0.477467,0,57.8576,1,1,4,3,2,4,0,47,41,1
0.472468,0.472987,-1,57.8914,3,3,3,5,4,1,1,75,41,1
?,0.591207,1,65.4,1,2,5,1,2,3,?,60,63,0
0.530838,-0.0350856,?,71.6031,2,1,?,5,4,1,1,59,108,1
0.670086,0.32025,1,68.7434,1,1,5,4,4,2,0,66,25,1
0.483177,0.466932,0,61.1273,0,0,2,3,1,1,0,36,51,1
0.756921,0.287392,-1,67.5156,1,3,3,3,?,2,1,25,39,0
0.611665,0.0781239,0,63.4558,0,2,1,3,3,2,0,46,64,0
0.700816,0.379761,1,62.0217,0,1,4,3,1,1,1,52,47,0
?,0.638637,1,50.0141,2,2,5,?,4,2,1,33,77,1
0.695593,0.521472,-1,68.2879,3,1,3,5,4,1,0,61,57,1
0.464165,0.490543,-1,69.6764,0,2,1,1,3,3,0,64,55,0
0.295871,1.01352,-1,57.2073,2,1,4,5,3,?,0,27,19,1
0.72075,0.790452,-1,54.8567,2,2,2,4,2,5,1,38,20,1
0.633176,?,?,65.8731,2,2,?,5,2,2,1,68,63,1
0.403193,?,-1,45.7797,3,2,4,2,3,3,1,20,79,1
0.479403,0.839801,-1,?,3,2,1,4,2,4,1,72,75,1
0.461559,0.277987,1,?,2,0,5,4,2,2,1,37,57,1
0.851974,0.896358,-1,54.3665,0,1,2,1,3,2,1,4,76,0
0.479276,0.457348,0,62.0663,1,1,5,2,4,2,0,44,59,1
0.158174,0.408028,0,55.7813,1,0,2,4,2,4,1,104,56,1
0.398301,0.320688,0,59.9079,2,0,1,5,4,3,0,42,49,1
0.322816,0.235532,1,63.7961,2,2,?,1,2,2,0,70,77,1
0.790169,0.773416,-1,70.729,?,3,5,4,3,2,1,75,1,1
0.753274,-0.0182588,-1,65.8165,3,1,2,1,2,2,0,56,38,1
0.289754,0.85144,0,69.0266,3,2,2,2,3,3,1,69,48,1
0.569876,0.480322,1,67.2609,3,1,2,2,3,4,1,24,26,1
0.482065,0.456118,1,?,2,1,3,5,3,2,0,87,64,1
0.712198,0.824156,0,?,3,0,3,1,2,2,0,41,51,1
0.563743,1.02986,-1,65.4904,1,2,?,1,3,3,0,37,18,0
0.0262565,0.750992,1,?,1,?,1,3,3,2,1,28,35,1
0.97012,0.557212,1,52.6973,1,2,4,1,2,2,1,54,26,0
0.254337,0.545826,0,78.2336,1,3,2,4,1,4,0,86,23,1
0.327874,0.563657,1,59.9359,2,1,5,4,2,4,0,47,66,1
0.658053,0.289582,0,64.5377,3,0,?,5,3,3,0,56,49,1
0.376027,0.292908,0,59.1257,1,0,3,4,2,2,1,44,20,1
0.897057,0.515662,?,59.5121,1,1,2,2,2,4,1,44,44,1
0.543135,0.302554,0,74.1378,2,0,1,1,3,2,1,64,62,0
0.624626,0.630206,?,55.6724,0,0,4,5,0,3,1,35,66,1
0.718616,0.826052,1,69.9908,2,0,1,4,2,?,0,34,?,1
0.58594,0.694852,?,68.3147,4,1,2,2,3,2,0,47,41,1
0.538865,0.798662,-1,67.5961,1,1,1,5,3,2,0,43,62,1
0.187777,0.374839,0,76.3879,?,0,1,1,1,2,1,27,79,1
0.450151,0.369288,1,57.9446,1,1,5,3,3,0,1,46,67,1
0.740422,0.587765,?,68.5093,1,3,2,1,2,1,0,75,65,0
0.541216,0.548165,0,?,0,2,3,2,1,2,1,?,71,0
0.266802,0.255285,-1,67.4502,1,0,2,1,3,3,0,30,46,1
0.756346,0.495017,1,66.1708,1,1,4,5,1,4,1,66,55,1
0.506034,0.412832,1,75.8476,2,1,5,1,1,0,0,49,38,1
0.283726,0.768266,0,65.2114,0,1,?,2,2,3,0,49,67,0
1.05862,0.512979,1,63.6641,0,2,2,3,3,3,1,65,26,1
0.573655,0.553621,-1,65.6821,?,0,3,2,3,4,1,58,55,1
?,0.0950586,1,56.0778,0,2,3,5,3,3,1,?,82,0
0.820873,0.505733,0,60.4501,1,1,4,5,4,1,1,36,38,1
0.492879,0.487372,-1,?,2,4,5,2,3,3,0,44,40,0
0.380333,0.495857,-1,71.1794,1,2,4,3,1,2,1,11,61,0
0.29612,0.336762,0,74.835,2,0,1,4,4,3,0,35,42,1
0.291664,0.635017,-1,71.4356,1,1,3,3,?,3,0,?,60,1
0.708319,0.832521,0,66.3174,3,2,5,3,4,4,0,50,61,1
0.438966,0.457891,1,60.3205,2,3,4,1,3,2,1,77,96,0
0.401576,0.354582,1,62.3176,3,?,2,3,3,2,0,73,63,1
0.659027,0.629356,-1,58.3519,0,3,4,4,4,4,1,-7,23,0
0.700465,0.627034,0,73.389,1,1,5,4,2,3,0,57,62,1
0.709163,0.353653,0,68.124,2,1,5,2,1,3,0,78,26,1
0.620793,0.350992,-1,64.435,2,2,1,5,1,2,0,47,?,1
0.416087,0.706893,-1,66.5633,2,1,3,3,?,2,1,60,62,1
0.374321,0.360556,1,69.601,2,?,5,3,2,1,1,66,63,1
0.322373,0.347456,-1,50.462,1,3,2,4,2,2,0,59,29,1
0.507921,0.45638,0,72.1601,3,1,1,2,3,3,1,73,?,1
0.614527,0.661073,-1,68.3225,2,0,2,?,3,2,0,70,66,1
0.455107,0.487026,-1,69.4123,2,2,3,?,1,2,0,38,49,1
0.666473,0.464747,0,52.3175,2,2,3,5,1,2,0,35,36,1
0.281775,0.651697,-1,63.0978,3,1,2,4,3,2,1,30,27,1
0.911778,0.232781,1,66.6431,4,1,5,4,4,4,0,46,53,0
0.594359,0.356003,-1,78.0653,2,1,4,3,3,1,1,29,39,1
0.390805,?,-1,60.2155,0,2,4,4,3,1,1,17,75,0
0.095768,0.563123,1,?,2,1,1,3,4,3,?,63,57,1
0.337715,0.523126,-1,57.0682,1,2,5,5,1,2,1,66,55,0
0.454149,0.64544,0,72.5848,0,2,1,1,3,4,1,36,63,0
0.464389,0.528258,0,59.2467,1,1,4,1,4,2,1,60,82,1
0.337307,0.495924,0,66.4235,1,?,2,5,2,3,0,54,55,1
0.885276,0.369694,-1,83.9795,0,2,3,4,2,3,0,32,50,0
0.580606,0.576167,0,67.0113,3,1,5,4,2,2,1,13,33,1
0.699596,0.613579,1,71.183,2,2,3,1,2,3,1,36,4,1
0.166642,0.414268,-1,75.2449,0,3,?,2,4,3,0,11,67,0
0.51022,0.54658,-1,66.3885,2,2,5,2,2,2,1,?,19,1
0.25851,0.4609,-1,56.267,1,4,5,4,1,3,1,81,66,0
0.690671,0.985124,0,64.004,2,3,1,1,3,2,0,?,72,0
?,?,1,75.4836,1,1,5,5,2,1,1,33,47,1
0.590159,0.193205,?,64.1538,2,0,4,4,3,2,0,67,48,0
0.518777,0.73218,-1,?,1,3,5,?,2,4,1,23,28,0
0.51011,0.081853,1,66.6951,1,?,3,5,2,2,1,25,73,0
0.588081,0.554836,0,65.5548,5,2,5,4,?,2,1,34,75,1
0.431742,0.1544,-1,67.2175,2,2,5,4,1,1,1,24,41,0
0.607724,?,1,61.7175,2,0,5,4,2,1,0,46,?,1
0.721621,0.633345,1,61.5713,1,?,?,4,?,4,1,48,73,1
0.454096,0.916109,-1,?,3,3,4,5,3,2,0,29,15,1
0.715413,0.569152,?,56.5373,3,2,2,1,2,1,0,?,87,1
0.087992,0.287446,0,70.2737,1,2,5,3,1,2,0,58,39,0
0.644772,0.741873,0,68.9183,2,?,2,?,2,3,1,55,29,1
0.541183,0.529383,0,67.0256,1,1,3,5,3,3,1,71,58,1
0.769346,0.308694,1,65.0645,1,2,1,1,3,1,1,47,36,0
0.558603,0.271459,0,65.6745,2,1,1,5,3,3,0,66,67,1
0.801872,0.414554,0,68.2458,2,1,1,5,4,3,1,52,57,1
?,0.453603,1,62.1921,1,0,5,?,3,3,0,50,2,1
0.83795,0.53671,-1,62.3191,0,1,3,1,3,3,1,?,35,0
0.506412,0.650312,1,60.6708,2,3,1,3,3,1,0,41,56,0
0.730824,0.427093,-1,52.0232,1,3,3,?,2,2,1,57,9,1
0.389883,0.118184,-1,70.2659,1,1,3,3,3,3,1,23,80,0
0.491396,0.650328,1,69.7305,?,?,4,2,2,2,1,56,70,1
0.271084,0.371779,-1,67.0367,2,0,3,1,4,3,0,60,?,1
0.808885,0.368582,-1,57.7972,1,1,5,3,1,2,0,61,31,1
0.399888,0.314344,-1,65.504,1,0,4,3,3,2,0,100,48,1
0.914194,0.264122,0,63.0165,1,1,4,4,4,2,0,30,4,1
0.438317,0.692174,-1,70.7376,2,1,1,4,4,2,0,66,56,1
0.500432,0.678121,1,61.8433,2,1,5,5,3,2,0,65,83,1
0.914248,0.602969,0,66.9532,1,?,2,5,3,3,0,56,49,1
0.67086,0.327841,-1,71.7689,1,2,?,5,2,0,1,46,58,0
0.286474,0.494447,1,59.7973,2,1,2,2,3,1,0,83,32,1
0.332685,0.21536,-1,69.3709,3,2,2,5,2,3,1,53,22,1
0.553344,0.497575,1,63.0873,3,0,5,4,2,5,1,47,16,1
0.757426,0.604148,-1,65.4509,?,1,3,3,1,1,0,65,87,1
0.437162,0.557283,0,65.5017,0,0,5,?,3,3,1,?,44,1
0.662262,0.22248,1,60.6434,2,1,5,1,1,1,1,77,58,0
0.545345,0.351214,0,70.9567,1,1,4,4,3,3,0,48,53,1
0.65479,0.486894,-1,68.9077,1,2,1,2,5,2,0,67,72,0
0.353483,0.550829,0,60.8982,1,0,3,4,1,2,1,32,?,1
0.539773,0.225299,-1,59.6947,2,1,2,2,3,3,1,50,40,1
0.525422,0.550537,0,62.9165,1,3,3,1,0,4,0,65,68,0
0.746078,0.495832,-1,52.7585,0,1,2,4,3,2,0,51,52,0
0.825619,0.522218,1,53.4977,0,2,4,4,3,1,0,35,40,0
0.401751,?,-1,57.7711,2,?,4,3,?,3,0,?,25,1
0.715649,0.313486,0,63.4669,0,4,5,4,3,3,0,62,?,0
0.312413,?,0,76.5057,1,1,1,4,2,3,0,48,64,1
0.826004,0.446504,-1,71.2014,1,2,5,1,2,0,0,53,50,0
?,0.383664,-1,70.1061,0,2,3,4,1,3,0,29,89,0
0.107588,0.903519,-1,72.4434,1,1,4,3,2,2,0,27,41,1
0.152097,0.621563,1,63.2274,2,1,3,5,2,3,0,11,41,1
0.645525,0.53019,1,58.716,-1,2,3,3,1,2,0,29,63,0
0.583684,0.41594,1,74.5398,2,2,5,2,2,0,1,55,88,1
0.624099,0.440295,-1,56.1618,2,0,5,2,3,?,0,45,31,1
0.645463,0.482619,0,66.0815,0,1,3,3,2,2,0,77,56,0
0.428627,?,1,62.3468,2,1,?,1,4,2,0,43,53,1
0.513606,0.43103,1,82.0213,0,0,5,?,3,4,0,76,55,1
?,0.840359,1,58.2941,2,0,4,4,3,3,1,46,55,1
0.532249,0.284727,1,57.547,1,1,4,1,2,2,1,57,58,1
0.245995,0.526164,1,65.0146,1,2,2,5,3,4,1,48,43,0
0.392661,0.261298,0,49.8581,3,?,3,4,2,4,0,38,46,1
0.408598,0.751247,0,67.7352,1,2,5,4,2,4,0,80,30,1
0.195776,0.190148,1,57.1096,1,0,3,1,4,3,1,29,49,1
0.668722,0.259241,?,67.9789,?,2,1,5,2,3,0,58,71,0
0.630692,0.817963,-1,62.0776,2,1,1,4,4,3,0,?,36,1
0.0704792,0.260453,1,58.21,2,1,3,2,1,4,0,42,89,1
0.464256,0.469337,0,70.0562,1,1,2,1,5,3,1,64,29,1
0.228687,0.582756,?,74.0891,4,2,2,2,3,1,0,49,25,1
0.870402,0.593187,0,67.028,2,-1,5,1,3,2,1,45,47,1
0.415247,0.51264,-1,74.6715,?,2,2,2,2,2,1,54,59,0
0.540635,0.724993,?,71.4586,3,3,5,5,2,2,0,72,41,1
0.626513,0.264294,0,67.7725,2,2,1,3,3,2,1,56,49,0
?,0.725158,-1,59.5025,1,2,2,5,4,3,1,50,81,0
0.42095,0.518166,0,52.0206,0,-1,3,2,2,5,1,61,97,1
0.267854,0.660573,0,61.8907,0,1,2,2,3,2,0,83,53,0
0.310755,0.371926,-1,64.4867,3,3,4,1,0,3,1,13,25,1
0.679207,0.412903,-1,78.7526,2,3,3,5,1,2,?,70,44,0
0.487926,0.255538,0,68.2209,0,1,4,4,3,1,1,50,75,0
?,0.185288,-1,?,2,2,1,4,2,3,0,39,60,1
0.268073,?,-1,69.6391,2,0,1,4,2,2,1,38,60,1
0.407895,0.532868,-1,71.2843,1,0,1,2,3,2,0,9,33,1
0.0786855,0.78272,?,57.6077,0,1,2,1,3,2,0,63,14,1
?,0.77928,0,54.9402,1,?,1,1,2,1,0,105,73,1
0.192884,0.46042,0,60.9661,0,2,3,3,2,3,1,77,51,0
0.734795,0.244866,0,75.8703,-1,2,3,2,3,2,1,67,46,0
0.885651,0.335355,1,64.4606,2,?,5,5,2,1,1,63,9,1
0.533026,0.774835,1,66.7328,0,2,1,5,1,2,1,48,57,0
0.629912,0.634355,-1,75.0861,1,2,5,4,3,?,0,63,26,1
0.259268,0.344379,1,64.579,2,3,3,2,3,3,1,99,66,0
0.30249,0.549424,1,59.5225,3,0,5,1,3,2,0,41,25,1
0.442908,0.456808,1,60.5184,1,1,5,4,4,3,1,33,48,1
0.446718,0.343812,?,66.9602,2,3,2,?,4,?,1,43,72,0
0.37065,0.67045,1,?,2,1,1,1,2,?,1,35,56,1
?,0.460952,0,65.5537,2,2,2,5,1,3,0,50,62,1
?,0.683212,?,63.2932,0,3,1,2,2,4,1,40,42,0
0.552237,0.781923,0,61.3137,0,1,4,3,3,?,1,37,-9,1
0.342699,0.571736,0,66.3152,1,1,1,4,2,3,1,25,39,1
0.861364,0.608491,1,56.146,1,2,1,2,3,3,1,39,44,0
0.742083,0.300227,-1,67.823,0,2,1,4,4,2,1,47,59,0
0.510549,0.448719,1,63.4656,?,4,3,1,1,3,1,63,54,0
0.602274,0.410363,-1,67.2766,?,3,3,2,2,2,0,60,?,0
0.948302,0.348126,0,56.7468,3,2,?,4,?,4,1,65,55,1
0.818616,0.215783,1,71.848,1,?,5,4,2,2,0,80,46,0
0.568761,0.414099,-1,61.6895,2,0,?,3,1,2,1,55,17,1
0.186029,0.332402,0,61.4954,1,1,?,1,2,3,1,44,94,1
0.77967,0.538684,0,58.1613,2,1,2,3,3,3,0,49,?,1
0.389955,0.930299,?,62.4392,1,2,?,1,2,3,1,22,56,0
0.314147,0.528434,-1,82.3902,2,0,3,5,3,3,0,11,60,1
0.476362,0.392998,1,60.1775,1,2,4,1,3,-1,1,62,56,0
0.769231,0.925626,-1,66.1743,0,1,5,1,2,3,0,41,?,0
0.598439,0.992661,-1,60.6318,1,1,1,2,2,4,0,63,54,1
?,0.563728,0,77.7824,2,-1,2,4,2,3,1,70,69,1
0.80612,0.515333,0,64.9562,4,?,4,2,3,1,1,41,50,1
0.34188,0.730942,1,?,0,0,5,3,3,2,0,33,61,1
0.400608,0.408974,0,78.8426,2,2,1,2,3,2,1,54,76,1
0.534322,0.6578,-1,63.8021,3,2,4,?,4,3,0,87,72,1
0.225802,0.464869,0,74.0456,1,1,?,3,3,2,0,59,37,1
0.425855,0.349961,0,64.7154,2,1,4,5,2,3,0,84,21,1
0.101337,0.356216,0,68.6629,3,3,5,2,3,2,1,88,39,1
?,0.719734,1,62.9951,3,1,1,?,2,4,0,40,?,1
0.730231,0.177918,-1,80.7745,0,?,5,4,1,3,0,31,47,0
0.720913,0.340567,-1,56.6176,2,0,2,2,4,3,1,52,39,1
0.469453,0.617628,1,67.2522,0,3,5,3,3,4,0,78,85,0
0.337976,0.146199,0,57.7352,2,2,2,1,2,2,1,67,64,1
0.400053,0.748505,-1,71.8519,3,1,4,2,2,2,0,102,44,1
0.446431,0.881333,-1,72.4991,1,3,3,5,2,2,0,43,42,0
0.269835,0.53811,1,62.4962,2,2,1,2,3,0,1,57,75,1
0.835166,0.0969779,0,45.5138,2,3,1,3,4,3,1,89,34,0
0.654032,0.527013,1,67.0544,1,2,3,2,4,2,1,69,47,0
0.373964,0.864802,1,56.109,1,2,4,5,3,3,1,52,29,1
0.80803,0.560786,0,67.7642,2,0,2,2,2,2,1,23,9,1
0.439019,0.500446,0,67.9854,1,-1,2,3,3,3,0,25,60,1
?,0.541872,-1,61.1988,1,3,1,?,?,3,?,13,27,0
0.251228,0.796522,1,73.7912,?,2,4,?,2,3,0,73,57,0
?,0.766937,-1,70.3905,2,1,1,2,1,1,1,64,38,1
0.398796,0.549046,0,57.2726,2,2,3,5,4,3,1,53,?,1
0.349373,0.457398,0,67.6264,2,1,1,5,2,1,1,30,57,1
0.406204,0.726852,0,66.3792,1,2,4,1,2,4,1,53,60,0
0.363015,0.962323,-1,73.4456,1,2,?,5,2,2,0,39,67,0
0.483398,0.481338,1,57.2351,1,1,2,5,2,3,1,75,56,1
0.488196,0.345884,-1,53.7051,2,2,4,5,2,2,1,56,?,1
0.556989,0.471216,1,65.3817,1,2,3,3,0,3,0,107,52,0
0.511129,0.212313,1,77.6933,1,1,5,2,?,1,0,50,65,0
0.551239,0.241683,0,73.8258,2,2,?,5,0,3,1,21,31,0
0.503211,0.495278,-1,56.3036,2,2,3,2,2,3,0,39,61,1
0.493082,0.445528,-1,60.7383,?,1,3,5,2,2,1,51,69,1
0.530467,0.764575,0,?,1,1,3,3,3,3,1,18,60,1
0.268521,0.481627,0,51.1912,1,-1,1,3,3,1,0,79,35,1
0.626278,0.45763,-1,58.9746,1,1,3,3,2,?,0,66,?,1
0.527395,?,0,61.3156,2,1,2,5,3,2,0,21,46,1
0.129843,0.826626,1,62.2906,3,1,4,5,3,3,0,35,?,1
0.715552,0.49591,-1,68.0679,1,2,5,5,2,3,1,30,45,0
0.332792,0.477348,0,61.9724,0,2,2,1,2,2,0,43,46,0
0.727654,0.36493,0,59.756,3,4,1,1,2,1,1,69,4,1
0.807032,0.52522,-1,63.0813,2,2,4,1,3,4,1,87,61,1
0.232504,0.17885,1,58.4421,2,2,4,1,1,3,1,57,39,1
0.663585,0.529529,-1,60.5964,?,1,3,2,2,3,0,44,39,1
0.342656,0.717077,0,68.6138,3,1,4,5,3,2,0,56,20,1
0.318889,0.624931,1,76.2343,1,2,2,2,?,1,0,58,53,0
?,0.656937,-1,?,2,2,4,2,2,3,0,60,41,1
0.322103,0.812969,0,68.9807,1,2,1,1,2,2,1,60,31,1
0.515709,0.316277,0,?,0,0,2,3,2,3,1,50,15,1
0.537726,0.453156,0,45.6642,2,2,2,1,1,1,1,35,92,1
0.396874,0.586432,-1,66.5707,1,0,4,1,3,2,0,60,53,1
0.366937,0.441096,1,61.4147,0,2,3,3,2,2,1,71,74,0
0.341104,0.763597,-1,69.722,4,3,?,4,2,4,0,52,59,1
0.479397,0.701832,0,59.2689,2,2,2,4,2,1,1,48,18,1
0.307769,0.588819,-1,65.6326,3,1,2,5,3,5,0,22,26,1
0.512127,0.766086,-1,64.8254,1,?,4,?,?,1,0,36,49,1
0.718586,0.420288,1,61.5956,2,1,2,1,2,2,0,10,31,1
0.573864,0.537116,1,61.4845,1,1,3,2,?,1,0,73,54,1
0.261059,0.592313,-1,71.4333,2,1,4,3,4,2,1,77,51,1
0.00971029,0.587207,-1,75.2083,2,2,4,4,3,2,1,47,17,1
0.517997,0.386767,1,67.7668,2,3,2,4,2,2,1,?,30,0
0.553363,0.165119,-1,59.1151,0,1,5,1,2,1,0,32,64,0
0.0912345,0.683247,1,70.648,1,1,1,5,2,2,1,75,21,1
0.260012,0.401523,1,62.2305,1,2,?,2,2,3,1,65,56,0
0.583269,0.189631,-1,73.9771,1,1,4,2,2,1,0,79,52,0
0.380621,0.306902,-1,55.3608,3,2,4,2,2,2,0,67,57,1
0.704376,0.48031,-1,64.2977,3,2,2,2,2,2,1,84,44,1
0.66886,0.655774,0,74.6707,1,0,4,3,3,2,1,29,55,1
-0.021192,0.469928,-1,60.0132,3,2,5,5,3,4,0,52,62,1
1.05202,0.108398,1,57.7373,1,3,3,1,4,1,0,32,29,0
0.613891,0.820204,1,61.8728,2,2,1,1,1,4,1,54,?,1
0.417941,0.462092,0,65.8875,1,0,4,2,3,3,0,38,34,1
0.442406,0.639295,1,70.6478,?,2,?,2,2,3,1,28,?,0
0.494018,0.20184,-1,61.3407,1,1,1,1,1,1,0,12,59,1
0.122889,0.391828,0,76.2169,2,2,5,2,1,4,0,24,7,1
0.487954,0.670125,1,48.4452,0,2,2,5,4,2,1,41,?,0
0.323006,0.801274,1,73.5117,3,3,1,1,2,3,0,66,82,1
0.389425,0.373853,-1,59.1042,1,0,3,2,2,3,0,57,26,1
0.493229,0.44786,1,71.5559,1,1,3,2,1,2,0,68,28,1
0.14795,0.382538,-1,74.0942,2,?,4,3,2,2,1,36,76,1
0.308904,0.445709,1,62.0733,1,1,2,2,0,2,1,50,30,1
0.823687,0.211728,0,71.1927,1,0,3,4,3,2,0,50,?,0
0.677759,0.617209,0,66.7456,0,2,4,5,5,4,0,42,53,0
0.63655,0.493549,-1,62.9675,1,2,5,4,2,1,0,77,26,0
0.660402,0.489257,0,64.8551,2,3,3,1,2,5,0,35,82,0
0.0179479,0.729101,0,60.8829,3,3,3,2,1,3,0,63,114,1
0.657294,0.52791,0,54.0479,1,2,3,4,4,2,1,72,71,0
0.565644,?,-1,63.3691,0,2,5,1,3,4,1,36,71,0
0.522302,0.749877,?,?,3,1,4,?,1,2,0,85,37,1
0.537363,0.386733,?,62.0318,0,0,3,3,2,0,0,48,62,1
0.576187,0.559085,-1,79.3558,1,1,2,1,3,1,1,56,51,1
0.210229,0.690022,0,?,3,1,2,2,2,2,0,50,49,1
0.427965,0.327138,1,66.6293,-1,1,3,4,2,2,0,48,65,0
0.114037,0.407237,1,67.1574,0,0,1,1,2,4,1,59,51,1
0.806025,0.556265,1,67.0362,1,?,2,1,3,3,0,44,55,1
0.693889,0.779779,1,76.0318,?,3,5,?,2,4,1,33,40,1
0.274253,0.475542,0,60.6074,2,1,5,1,?,2,1,49,58,1
0.80345,0.435578,0,55.8109,2,1,5,3,3,3,0,?,74,1
0.31905,0.316011,1,58.2239,1,3,3,2,2,2,0,70,50,0
0.380341,0.484846,?,56.161,1,2,5,1,2,1,0,50,50,0
0.382629,1.03112,0,61.8891,0,3,4,1,0,2,1,25,54,0
0.516814,0.396895,1,55.1741,0,3,3,4,2,2,0,73,68,0
?,0.62998,1,60.2164,?,2,3,1,3,3,1,80,41,0
0.484417,0.639067,-1,70.1658,1,1,3,?,2,4,1,54,49,1
0.838385,0.311203,-1,64.4608,2,2,5,5,3,2,1,35,48,0
0.476308,-0.0724197,1,67.8317,1,1,5,2,2,2,0,86,82,1
?,0.689354,1,74.8318,1,2,1,1,2,2,0,39,103,0
0.600009,0.259639,1,60.8054,2,2,1,4,2,?,1,49,68,0
0.590489,0.281083,0,56.0761,2,2,3,1,2,4,0,65,50,1
0.614532,0.489534,-1,71.4032,2,3,3,1,4,3,1,17,41,0
0.578432,0.697229,?,?,2,2,4,2,1,1,1,58,?,1
0.204928,0.489014,-1,61.8281,3,-1,5,4,3,5,0,74,64,1
0.542205,0.83485,-1,58.8984,4,0,1,4,1,2,0,48,19,1
0.388036,0.591859,1,70.9216,2,1,5,4,2,3,0,30,11,1
0.494538,0.471636,1,65.0887,1,1,1,4,4,0,0,76,69,1
0.353501,0.448046,1,58.3376,0,1,4,3,3,1,0,21,?,0
0.203767,0.684484,0,72.0408,0,1,2,5,2,3,0,76,5,1
0.811174,0.691849,1,67.906,0,1,3,4,3,3,0,42,43,0
0.464546,0.530713,1,61.0408,1,?,4,3,4,3,1,?,55,1
0.489919,0.142446,1,61.0914,1,1,1,5,3,1,1,52,56,0
0.610418,0.467293,1,66.7971,3,0,1,?,3,3,0,36,71,1
0.282846,0.220926,-1,58.053,3,3,2,1,3,3,0,58,19,1
0.244569,0.509263,0,55.4613,1,2,2,5,2,1,1,43,60,0
0.246683,?,1,53.9412,0,1,4,5,4,5,0,39,55,0
0.927741,0.571035,0,59.2698,2,1,4,4,4,1,1,68,76,1
0.568037,0.05746,-1,61.3861,1,1,1,2,3,2,0,81,92,0
0.595731,0.532084,1,68.1353,3,3,2,5,2,2,?,65,?,1
0.616635,0.583248,1,58.1803,2,0,3,5,4,1,1,74,52,1
0.210484,0.48613,0,57.8947,2,2,2,4,2,2,0,59,60,1
0.602537,0.467411,0,66.5773,1,3,4,3,3,2,1,68,20,1
0.705809,0.493298,0,69.7566,3,0,2,2,3,2,0,73,33,1
0.351547,0.572729,1,68.3666,2,1,3,2,2,1,0,50,?,1
0.243557,0.330546,-1,68.2167,2,1,4,4,5,2,0,65,53,1
?,0.750676,0,76.2638,0,0,2,4,1,3,0,56,29,1
0.682086,0.443123,0,74.2258,?,2,2,2,2,1,0,38,31,0
